Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
307794,14,8,first
262206,3,14,best
385338,17,3,best
400000,16,1,best
400000,11,1,first
323439,17,8,best
400000,16,2,first
322294,13,8,first
234927,1,15,first
384943,12,2,first
322092,17,5,first
323634,16,5,first
321571,4,14,best
306078,1,16,best
337882,19,6,first
400000,27,3,best
400000,15,1,best
261012,4,10,first
306890,5,10,best
323817,19,5,best
400000,17,1,best
400000,14,1,first
221447,2,13,first
323742,21,6,best
290249,3,13,best
355325,19,4,first
291768,2,15,best
339992,19,8,best
320798,10,7,first
320750,15,6,first
322279,17,6,best
296304,12,7,first
280194,3,16,best
320506,12,9,best
291414,5,11,first
341512,24,5,best
307043,9,9,first
384794,20,4,first
338169,18,8,best
340516,18,6,first
338075,20,5,best
324094,21,5,best
324129,17,7,best
400000,18,1,best
385896,28,3,best
385985,30,3,best
400000,20,2,first
278109,12,8,best
323166,18,5,first
400000,18,4,first
306079,3,12,first
371946,21,4,first
325419,14,7,first
236084,5,14,best
400000,26,3,best
320192,12,5,first
309132,15,8,first
385207,19,3,first
291712,1,18,best
247717,4,12,best
294618,10,9,first
216564,4,14,first
400000,22,4,first
400000,22,3,first
369699,24,4,first
369759,28,4,best
400000,25,3,first
291352,2,17,best
324308,15,7,first
354293,23,4,first
234091,3,14,first
384946,14,4,first
290963,6,11,first
400000,21,2,best
306200,8,11,best
400000,15,2,best
292487,5,13,best
320433,14,6,first
323258,21,8,best
260414,5,16,best
307706,11,9,best
400000,18,2,first
321688,14,9,best
276358,1,17,first
307845,17,8,first
322361,23,5,best
400000,16,1,first
322325,16,8,first
320692,20,6,first
338578,20,7,best
306980,13,7,first
400000,26,4,best
293831,4,16,best
322697,16,9,best
400000,25,2,best
400000,20,1,best
295119,5,10,first
322300,22,8,best
400000,17,2,first
369354,27,4,best
400000,21,1,best
322491,16,7,best
274441,5,14,first
305001,3,15,best
321936,17,6,first
307017,1,16,first
325219,21,7,best
386328,24,3,first
290118,2,16,first
400000,27,2,best
400000,22,1,best
308851,2,14,first
400000,23,2,best
324881,18,7,best
291843,5,15,best
385174,30,4,best
337563,13,9,best
337909,19,8,first
292218,3,13,first
337556,25,6,best
400000,19,2,first
400000,24,2,best
340150,24,5,first
291825,7,13,best
385600,27,3,first
356373,19,5,first
293012,7,11,best
400000,26,2,best
400000,17,1,first
306446,6,10,best
293854,4,15,best
305766,5,12,best
341872,23,6,best
327484,20,8,best
323843,26,6,best
246544,1,19,best
290792,4,13,first
400000,23,3,first
340775,17,7,first
400000,31,3,best
291723,6,16,best
277185,5,16,first
309062,17,9,best
324171,22,6,best
291197,2,17,first
400000,30,3,first
277999,6,14,best
292760,9,11,best
400000,17,3,first
249142,4,12,first
322116,6,13,best
261387,9,14,best
354132,30,5,best
358119,26,5,best
370804,29,5,best
400000,34,3,best
385137,28,5,best
321245,19,7,best
321267,12,9,first
400000,28,4,first
292474,8,11,first
400000,35,4,best
400000,23,1,best
323338,18,9,best
338020,25,7,best
369854,36,4,best
400000,15,1,first
371622,25,4,best
276314,3,17,best
323111,18,8,first
400000,24,1,best
400000,21,2,first
325494,24,7,best
322940,21,8,first
321110,8,10,best
291059,3,16,first
324898,21,6,first
309131,2,15,first
322603,12,8,first
304639,8,16,best
400000,34,4,best
292101,5,15,first
400000,25,2,first
384459,32,6,best
339863,28,6,best
400000,29,2,best
323713,27,8,best
292767,6,12,best
277909,14,9,first
321920,7,14,best
339830,27,7,best
384240,31,4,best
324204,20,7,first
322253,23,7,best
400000,21,1,first
322442,16,9,first
307884,4,15,first
337406,22,8,first
339959,21,5,first
247142,6,15,best
353788,31,6,best
306829,4,17,best
370843,33,5,best
400000,28,3,first
400000,18,1,first
279762,7,16,best
323185,9,10,best
292382,5,13,first
293551,10,11,best
400000,37,3,best
337363,28,7,best
340146,31,5,best
292566,12,11,best
369891,25,5,best
400000,31,2,best
305923,6,13,first
262694,5,12,first
307608,7,12,best
321504,7,13,first
308186,1,18,first
307906,23,8,best
356209,23,6,first
400000,26,3,first
308179,6,10,first
400000,32,3,best
400000,26,2,first
307672,11,9,first
400000,39,3,best
352430,23,5,first
384142,30,4,first
384157,34,5,best
400000,37,4,best
400000,30,2,best
400000,15,2,first
321046,13,9,first
400000,27,4,first
400000,20,1,first
321896,10,13,best
340604,29,6,best
400000,23,1,first
400000,28,1,best
400000,24,2,first
400000,22,1,first
322924,11,10,best
322986,9,12,best
370493,26,4,first
306559,3,15,first
400000,26,1,best
400000,34,3,first
369112,25,8,best
320836,4,16,first
320592,9,14,first
276332,6,14,first
322658,29,8,best
400000,27,2,first
369842,25,4,first
372672,26,5,first
320711,9,11,first
324808,18,7,first
306409,13,11,best
275667,5,17,best
305038,1,19,first
400000,24,1,first
356491,38,6,best
340093,24,7,first
321880,21,9,best
304623,8,15,best
353542,28,8,best
338009,22,6,first
370876,35,4,first
307347,8,13,best
400000,23,2,first
400000,32,1,best
384003,36,3,best
339633,25,6,first
306998,10,10,best
325847,23,7,first
320720,8,12,best
356054,33,6,best
368692,29,5,first
323366,21,7,first
400000,22,2,best
386384,36,4,first
322326,18,9,first
291384,6,16,first
340146,32,8,best
384236,34,4,first
291683,10,16,best
322432,20,8,first
294928,7,15,best
384740,22,5,best
352497,35,5,best
322155,17,9,first
321852,15,9,best
339176,32,6,first
338418,29,6,first
337967,26,6,first
400000,30,1,best
323509,35,8,best
400000,33,2,best
307851,8,10,first
400000,31,4,first
322436,31,8,best
320322,10,11,first
384045,39,4,best
320193,7,11,first
324641,31,7,best
274878,2,18,best
400000,29,3,best
321516,11,16,best
400000,39,3,first
325656,30,7,best
321174,16,7,first
352889,29,7,best
369561,25,5,first
306629,8,16,first
323047,33,7,best
353520,36,6,best
320814,9,16,best
304912,7,10,best
370495,33,5,first
293003,3,17,first
291656,11,13,best
278297,10,14,first
320689,6,12,first
323619,19,7,first
306373,4,17,first
308629,9,13,best
368725,31,5,first
400000,31,2,first
400000,37,2,best
324673,28,7,first
400000,34,1,best
306168,14,11,best
400000,38,1,best
353630,34,6,first
368691,29,4,best
400000,37,3,first
400000,33,1,best
370964,40,4,best
400000,35,1,best
337150,25,7,first
400000,32,2,best
274798,5,17,first
327527,37,6,best
324122,29,8,first
321515,13,13,best
307407,7,14,first
321454,14,13,best
320551,11,10,first
322571,30,8,best
321992,23,9,best
400000,29,2,first
321751,6,17,best
322854,7,12,first
370433,28,5,first
305697,12,14,best
321798,9,12,first
384686,36,7,best
322266,20,9,best
320918,11,11,first
400000,26,1,first
400000,30,2,first
322915,12,11,first
400000,31,1,best
384351,30,5,first
400000,31,3,first
400000,36,1,best
386264,37,4,first
322748,10,16,first
400000,19,1,best
354016,25,8,first
370025,27,5,best
323353,36,8,best
