Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
367088,14,8,first
313581,3,14,best
397068,17,3,best
400000,16,1,best
400000,11,1,first
384688,17,8,best
400000,16,2,first
384459,13,8,first
265368,1,15,first
396989,12,2,first
384418,17,5,first
384727,16,5,first
369402,4,14,best
366693,1,16,best
387576,19,6,first
400000,27,3,best
400000,15,1,best
312135,4,10,first
366760,5,10,best
384763,19,5,best
400000,17,1,best
400000,14,1,first
264247,2,13,first
384749,21,6,best
347507,3,13,best
391065,19,4,first
349837,2,15,best
387998,19,8,best
384159,10,7,first
384150,15,6,first
384456,17,6,best
351363,12,7,first
333360,3,16,best
384101,12,9,best
348742,5,11,first
388302,24,5,best
367262,9,9,first
396958,20,4,first
387634,18,8,best
388103,18,6,first
387615,20,5,best
384819,21,5,best
384826,17,7,best
400000,18,1,best
397179,28,3,best
397197,30,3,best
400000,20,2,first
332813,12,8,best
384634,18,5,first
400000,18,4,first
366373,3,12,first
394390,21,4,first
385084,14,7,first
283009,5,14,best
400000,26,3,best
384038,12,5,first
367586,15,8,first
397042,19,3,first
349078,1,18,best
295689,4,12,best
349270,10,9,first
259166,4,14,first
400000,22,4,first
400000,22,3,first
393940,24,4,first
393952,28,4,best
400000,25,3,first
348542,2,17,best
384862,15,7,first
390858,23,4,first
278754,3,14,first
396989,14,4,first
348466,6,11,first
400000,21,2,best
366109,8,11,best
400000,15,2,best
350278,5,13,best
384086,14,6,first
384651,21,8,best
311617,5,16,best
367434,11,9,best
400000,18,2,first
384338,14,9,best
330320,1,17,first
366288,17,8,first
384472,23,5,best
400000,16,1,first
384465,16,8,first
384138,20,6,first
387715,20,7,best
365510,13,7,first
400000,26,4,best
350941,4,16,best
384539,16,9,best
400000,25,2,best
400000,20,1,best
350960,5,10,first
380575,22,8,best
400000,17,2,first
393871,27,4,best
400000,21,1,best
384498,16,7,best
328436,5,14,first
365286,3,15,best
384387,17,6,first
365932,1,16,first
385044,21,7,best
397266,24,3,first
346654,2,16,first
400000,27,2,best
400000,22,1,best
368106,2,14,first
400000,23,2,best
384976,18,7,best
350000,5,15,best
397035,30,4,best
387513,13,9,best
387582,19,8,first
348960,3,13,first
387511,25,6,best
400000,19,2,first
400000,24,2,best
388030,24,5,first
349027,7,13,best
397120,27,3,first
391274,19,5,first
348778,7,11,best
400000,26,2,best
400000,17,1,first
365913,6,10,best
351029,4,15,best
365720,5,12,best
388374,23,6,best
385497,20,8,best
384769,26,6,best
295114,1,19,best
348547,4,13,first
400000,23,3,first
388155,17,7,first
400000,31,3,best
349255,6,16,best
331225,5,16,first
367922,17,9,best
384834,22,6,best
348496,2,17,first
400000,30,3,first
332314,6,14,best
348547,9,11,best
400000,17,3,first
296217,4,12,first
384423,6,13,best
311295,9,14,best
390826,30,5,best
391624,26,5,best
394161,29,5,best
400000,34,3,best
397027,28,5,best
384249,19,7,best
384254,12,9,first
400000,28,4,first
349296,8,11,first
400000,35,4,best
400000,23,1,best
384667,18,9,best
387604,25,7,best
393970,36,4,best
400000,15,1,first
394325,25,4,best
329914,3,17,best
384622,18,8,first
400000,24,1,best
400000,21,2,first
385099,24,7,best
384588,21,8,first
384222,8,10,best
348963,3,16,first
384979,21,6,first
367278,2,15,first
384521,12,8,first
365153,8,16,best
400000,34,4,best
348188,5,15,first
400000,25,2,first
396892,32,6,best
387973,28,6,best
400000,29,2,best
384742,27,8,best
349571,6,12,best
331510,14,9,first
384384,7,14,best
387966,27,7,best
396848,31,4,best
384841,20,7,first
384450,23,7,best
400000,21,1,first
384488,16,9,first
366662,4,15,first
387481,22,8,first
387992,21,5,first
294761,6,15,best
390758,31,6,best
350855,4,17,best
394169,33,5,best
400000,28,3,first
400000,18,1,first
333528,7,16,best
384637,9,10,best
349301,5,13,first
349563,10,11,best
400000,37,3,best
387473,28,7,best
388030,31,5,best
349682,12,11,best
393978,25,5,best
400000,31,2,best
365731,6,13,first
314182,5,12,first
367642,7,12,best
384301,7,13,first
366944,1,18,first
367817,23,8,best
391242,23,6,first
400000,26,3,first
366559,6,10,first
400000,32,3,best
400000,26,2,first
366838,11,9,first
400000,39,3,best
390486,23,5,first
396829,30,4,first
396831,34,5,best
400000,37,4,best
400000,30,2,best
400000,15,2,first
384210,13,9,first
400000,27,4,first
400000,20,1,first
384379,10,13,best
388121,29,6,best
400000,23,1,first
400000,28,1,best
400000,24,2,first
400000,22,1,first
384585,11,10,best
384598,9,12,best
394098,26,4,first
367024,3,15,first
400000,26,1,best
400000,34,3,first
393822,25,8,best
384167,4,16,first
384118,9,14,first
331301,6,14,first
384531,29,8,best
400000,27,2,first
393968,25,4,first
394534,26,5,first
384142,9,11,first
384962,18,7,first
365975,13,11,best
330478,5,17,best
365125,1,19,first
400000,24,1,first
391298,38,6,best
388018,24,7,first
384376,21,9,best
365098,8,15,best
390709,28,8,best
387602,22,6,first
394175,35,4,first
367090,8,13,best
400000,23,2,first
400000,32,1,best
396801,36,3,best
387926,25,6,first
366242,10,10,best
385170,23,7,first
384144,8,12,best
391210,33,6,best
393738,29,5,first
384673,21,7,first
400000,22,2,best
397277,36,4,first
384466,18,9,first
348695,6,16,first
388030,32,8,best
396847,34,4,first
347760,10,16,best
384486,20,8,first
351076,7,15,best
396948,22,5,best
390499,35,5,best
384431,17,9,first
384370,15,9,best
387835,32,6,first
387684,29,6,first
387594,26,6,first
400000,30,1,best
384702,35,8,best
400000,33,2,best
367835,8,10,first
400000,31,4,first
384487,31,8,best
384065,10,11,first
396809,39,4,best
384038,7,11,first
384928,31,7,best
328778,2,18,best
400000,29,3,best
384303,11,16,best
400000,39,3,first
385131,30,7,best
384235,16,7,first
390578,29,7,best
393912,25,5,first
366225,8,16,first
384610,33,7,best
390704,36,6,best
384163,9,16,best
365666,7,10,best
394099,33,5,first
349057,3,17,first
348542,11,13,best
332227,10,14,first
384138,6,12,first
384724,19,7,first
366844,4,17,first
367992,9,13,best
393745,31,5,first
400000,31,2,first
400000,37,2,best
384934,28,7,first
400000,34,1,best
365353,14,11,best
400000,38,1,best
390726,34,6,first
393738,29,4,best
400000,37,3,first
400000,33,1,best
394193,40,4,best
400000,35,1,best
387430,25,7,first
400000,32,2,best
329162,5,17,first
385506,37,6,best
384824,29,8,first
384303,13,13,best
367547,7,14,first
384291,14,13,best
384110,11,10,first
384514,30,8,best
384398,23,9,best
400000,29,2,first
384350,6,17,best
384571,7,12,first
394086,28,5,first
366158,12,14,best
384360,9,12,first
396937,36,7,best
384454,20,9,best
384183,11,11,first
400000,26,1,first
400000,30,2,first
384583,12,11,first
400000,31,1,best
396870,30,5,first
400000,31,3,first
400000,36,1,best
397253,37,4,first
384550,10,16,first
400000,19,1,best
390803,25,8,first
394005,27,5,best
384670,36,8,best
400000,28,2,best
384462,12,10,best
384386,34,8,best
394186,36,5,best
387932,26,9,best
400000,36,3,first
400000,32,3,first
366046,11,15,best
384083,28,8,first
400000,32,1,first
384720,11,12,best
400000,33,4,first
384742,22,7,best
384886,6,15,first
384884,27,8,first
400000,39,2,best
384550,19,9,best
387582,34,7,best
384980,8,14,first
393762,40,6,best
387486,24,9,best
384198,13,10,best
384202,27,7,first
367807,2,19,best
384305,9,15,best
366106,9,10,first
346582,10,13,first
390581,31,6,first
384406,10,10,first
384341,13,14,best
390979,28,6,first
330168,11,13,first
384671,25,9,best
397042,40,5,best
387843,19,11,best
367147,11,14,best
390745,32,8,first
396868,29,4,first
384430,15,9,first
384330,15,11,best
400000,25,1,best
391134,22,5,first
384686,24,6,best
384149,7,15,first
384634,14,16,best
384967,35,8,first
400000,28,1,first
391042,38,6,first
385026,33,7,first
400000,33,2,first
384115,9,13,first
400000,22,2,first
400000,29,3,first
367800,16,11,best
351032,12,15,best
400000,34,1,first
400000,36,2,best
367147,12,13,best
367058,7,17,best
384419,11,16,first
390944,39,5,best
394127,38,5,best
384075,14,10,best
400000,40,2,best
384268,7,16,first
384468,20,11,best
400000,34,2,best
330897,14,11,first
400000,35,1,first
384403,21,9,first
384303,23,8,first
348148,10,17,best
384423,1,21,best
384408,15,10,best
384424,10,15,best
387438,12,16,best
384470,14,14,best
384290,12,12,best
366006,15,13,best
384283,11,17,best
393891,32,4,best
367176,3,18,best
384209,17,11,best
390787,39,6,best
384207,8,15,first
400000,37,1,best
390852,34,5,first
384339,9,17,best
366454,2,21,best
396906,32,5,best
387834,29,7,first
400000,35,3,best
384543,23,9,first
387818,38,8,best
388179,31,8,first
333574,8,13,first
400000,38,3,best
400000,37,2,first
331512,3,19,best
384307,27,6,best
384363,1,20,best
400000,32,2,first
384841,28,9,best
384161,16,13,best
387841,31,7,first
400000,30,1,first
367334,7,10,first
367390,13,16,best
388631,40,4,first
